pagina,titulo,preco,estado,cidade,bairro,url,data_publicacao,data_pesquisa
1,Gol Power 1.6,37000.0,SC,Santo Amaro da Imperatriz,,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-power-1-6-1167078475,2023-04-14 17:45:52,2023-04-14 17:54:22
1,Volkswagen Parati 1.0 16v - 2000! Raridade!!,20000.0,MG,Belo Horizonte,Lindéia (Barreiro),https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-parati-1-0-16v-2000-raridade-1106851296,2023-04-14 17:46:01,2023-04-14 17:54:22
1,Up TSi Pepper 2019/2019,72900.0,RJ,Teresópolis,Carlos Guinle,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/up-tsi-pepper-2019-2019-1113978808,2023-04-14 17:45:52,2023-04-14 17:54:23
1,Honda fit 2016 1.5 lx 16v flex 4p automÁtico,72900.0,SP,Sorocaba,Vila Assis,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-2016-1-5-lx-16v-flex-4p-automatico-1165835344,2023-04-14 17:46:01,2023-04-14 17:54:23
1,Argo 1.0 drive 2022,59900.0,PE,Recife,Madalena,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/argo-1-0-drive-2022-1163435032,2023-04-14 17:45:52,2023-04-14 17:54:23
1,NISSAN KICKS 1.6 16vstart S Direct,89790.0,SP,Santos,Vila Mathias,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-1-6-16vstart-s-direct-1163642625,2023-04-14 17:46:02,2023-04-14 17:54:23
1,Volkswagen Fox Trend 1.0 com Direção Hidráulica vidros e trava 2010,24900.0,SP,Praia Grande,Ocian,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-trend-1-0-com-direcao-hidraulica-vidros-e-trava-2010-1156805155,2023-04-14 17:46:01,2023-04-14 17:54:23
1,Chevrolet Trailblazer LTZ 2.8 Diesel Aut. 2013/2013,129000.0,PI,Teresina,Porenquanto,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-trailblazer-ltz-2-8-diesel-aut-2013-2013-1146679627,2023-04-14 17:45:56,2023-04-14 17:54:23
1,Omega 4.1 GLS manual ,28000.0,DF,Brasília,Ponte Alta Norte (Gama),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/omega-4-1-gls-manual-1173020739,2023-04-14 17:45:56,2023-04-14 17:54:23
1,BMW X1 2.0 SDrive 18i Top (Aut) 2011,69990.0,SP,Campinas,Jardim Flamboyant,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/bmw-x1-2-0-sdrive-18i-top-aut-2011-1173020731,2023-04-14 17:45:55,2023-04-14 17:54:23
1,Ram 2500 2012 ,245000.0,SP,Araraquara,Centro,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/ram-2500-2012-1162291605,2023-04-14 17:45:52,2023-04-14 17:54:23
1,Celta 2012 4 portas 1.0 flex,19800.0,SP,São Pedro,,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/celta-2012-4-portas-1-0-flex-1173020717,2023-04-14 17:45:52,2023-04-14 17:54:24
1,Renault Sandero 2017 1.6 stepway rip curl 8v flex 4p manual,52900.0,RJ,Rio de Janeiro,Vila Isabel,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2017-1-6-stepway-rip-curl-8v-flex-4p-manual-1148098767,2023-04-14 17:45:51,2023-04-14 17:54:24
1,L200 Triton 4x4 auto diesel na parte,45000.0,PA,Belém,Marambaia,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/l200-triton-4x4-auto-diesel-na-parte-1173020724,2023-04-14 17:45:54,2023-04-14 17:54:24
1,Peugeot 3008 em excelente estado!,129900.0,RJ,Rio de Janeiro,Jacarepaguá,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-3008-em-excelente-estado-1142515025,2023-04-14 17:45:51,2023-04-14 17:54:24
1,Renegade sport 2016,0.0,CE,Fortaleza,Demócrito Rocha,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renegade-sport-2016-1159305052,2023-04-14 17:45:50,2023-04-14 17:54:24
1,Ka SE 1.0 2017 extra com pericia cautelar,44990.0,PE,Recife,Imbiribeira,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ka-se-1-0-2017-extra-com-pericia-cautelar-1099577601,2023-04-14 17:45:51,2023-04-14 17:54:24
1,VOYAGE 2021/2022 1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO,80840.0,PI,Teresina,Santa Isabel,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/voyage-2021-2022-1-6-16v-msi-totalflex-4p-automatico-1144460211,2023-04-14 17:45:50,2023-04-14 17:54:24
1,Ka Se Plus 1.0 12v 2021,59900.0,ES,Vitória,República,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/ka-se-plus-1-0-12v-2021-1119966341,2023-04-14 17:45:50,2023-04-14 17:54:25
1,PEUGEOT 208ACTIVE 1.2 16/17 ENTRADA 3.900 + 60 × NO FINANCIAMENTO BANCÁRIO ,37900.0,GO,Goiânia,Jardim América,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208active-1-2-16-17-entrada-3-900-60-no-financiamento-bancario-1167747508,2023-04-14 17:45:50,2023-04-14 17:54:25
1,Saveiro 1.6 CS Trendline - 2019 - Completo ,74900.0,SP,Sorocaba,Jardim Faculdade,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1-6-cs-trendline-2019-completo-1067206287,2023-04-14 17:45:49,2023-04-14 17:54:25
1, Volkswagen Polo Sportline 1.6 Flex ,34900.0,SP,São José do Rio Preto,Vila Anchieta,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-sportline-1-6-flex-1080419311,2023-04-14 17:45:50,2023-04-14 17:54:25
